document_id;title;text;url;lat;lon
E1452;Die Radspur auf der Fahrbahn sicherer machen;Die Verlegung des Radverkehrs auf die Straße ist schon eine Verbesserung im Vergleich zum vorherigen Zustand. Der Radfahrstreifen ist aber noch zu unsicher, er sollte zu einer Protected Bike Lane ausgebaut werden. Deutlich rot eingefärbt, und auch mit Schwellen gegenüber der Kfz-Spur abgegrenzt werden.;https://www.raddialog-ehrenfeld.koeln/dialoge/ehrenfelder-raddialog/die-radspur-auf-der-fahrbahn-sicherer-machen;50,941421;6,91246
E1453;Brücke endlich bauen!;Der Neubau der Brücke über die Widdersdorfer Straße ist eigentlich längst beschlossene Sache. Eine wichtige Radwegeverbindung von Ehrenfeld in den Stadtbezirk Lindenthal. Hier sollte die Umsetzung beschleunigt werden.;https://www.raddialog-ehrenfeld.koeln/dialoge/ehrenfelder-raddialog/bruecke-endlich-bauen;50,94515;6,910132
E1454;Kreuzung sicherer machen;Durch geparkte Autos entstehen beim Abbiegen von Radfahrern oder PKWs oft gefährliche Situationen, da die Kreuzung unübersichtlich ist.;https://www.raddialog-ehrenfeld.koeln/dialoge/ehrenfelder-raddialog/kreuzung-sicherer-machen;50,951553;6,921713
E1456;Verkehrssituation Venloer Str.;Die Situation auf der Venloer Str. ist für die schwachen Verkehrsteilnehmer bald nicht mehr hinnehmbar. Der Schutzstreifen ist viel zu schmal, zum Teil in der Gosse, wird ständig von Autos und LKW's zugeparkt, Autofahrer überholen ohne ausreichenden Abstand, ständiger Wechsel zwischen Schutzstreifen auf der Straße und Radweg auf dem Bürgersteig. Überall fehlen Fahrrad.Absetllmöglichkeiten für normale Räder und Lastenräder. Fußgänger haben zu wenig Möglichkeiten die Venloer Str. zu queren. Warum werden die schwachen Verkehrsteilnehmer hier so massiv benachteiligt?;https://www.raddialog-ehrenfeld.koeln/dialoge/ehrenfelder-raddialog/verkehrssituation-venloer-str;50,947696;6,921774
E1457;freilaufende Rechtsabbieger;freilaufende Rechtsabbeiger haben in Köln schon soviele Menschen getötet, trotzdem werden sie nicht zurückgebaut;https://www.raddialog-ehrenfeld.koeln/dialoge/ehrenfelder-raddialog/freilaufende-rechtsabbieger;50,951707;6,912237
E1458;Ampel Ecke Venloer / Franz Greuer;Die Ampel kann wegfallen und durch einen Mini-Kreisverkehr mit Zebrastreifen an den Ein-/Ausgängen ersetzt werden. Damit würden Wartezeiten für Radfahrer (und Fußgänger) reduziert und ein allgemein achtsames Miteinander gefördert.;https://www.raddialog-ehrenfeld.koeln/dialoge/ehrenfelder-raddialog/ampel-ecke-venloer-franz-greuer;50,946153;6,925507
E1459;Ampel Vogelsanger / Grüner Weg;Die Ampel kann durch einen Mini-Kreisverkehr inkl. Fußgängerüberwege / Zebrastreifen ersetzt werden. Dadurch reduzieren sich die Wartezeiten für Fußgänger / Radfahrer.;https://www.raddialog-ehrenfeld.koeln/dialoge/ehrenfelder-raddialog/ampel-vogelsanger-gruener-weg;50,949154;6,913447
E1460;Aufpflasterung an abgesperrten Kreuzungen;Die Stammstraße ist eine attraktive Radroute, allerdings an verschiedenen Kreuzungen durch Aufpflasterung nur umständlich befahrbar. Hier könnte die Pflasterungen entfernt und durch glatten Asphalt ersetzt werden (wie es momentan an der Körnerstraße schon eingerichtet ist);https://www.raddialog-ehrenfeld.koeln/dialoge/ehrenfelder-raddialog/aufpflasterung-abgesperrten-kreuzungen;50,948667;6,925013
E1461;Freigabe der Hüttenstraße;Die Hüttenstraße ist eine wichtige Radwegverbindung und teilweise schwer zu umfahren, allerdings für den Zweirichtungserkehr nicht freigegeben. Dies sollte dringend geschehen.;https://www.raddialog-ehrenfeld.koeln/dialoge/ehrenfelder-raddialog/freigabe-der-huettenstrasse;50,952168;6,921966
E1462;Zugeparkter Radweg;Hier stehen beinahe durchgehend PKW halb auf dem Gehweg und halb auf dem Radweg, wodurch man auf die Fahrbahn ausweichen muss, da man sonst mit dem Lenker gegen die Außenspiegel kommen würde. Eine unfassbar gefährliche Stelle. Der Radweg muss dort entweder verbreitert werden, oder ein absolutes Halteverbot DURCHGESETZT werden.;https://www.raddialog-ehrenfeld.koeln/dialoge/ehrenfelder-raddialog/zugeparkter-radweg;50,954257;6,918758
