#FORMAT=WebAnno TSV 3.2
#T_SP=webanno.custom.Location|


#FORMAT=WebAnno TSV 3.2			_	
#T_SP=webanno.custom.Typ|Name			_	
#T_SP=webanno.custom.Verortung|			_	
			_	
			_	
#Text=Entfernung eines Autostellplatzes				
1-1	0-10	Entfernung	_	_
1-2	11-16	eines	_	_
1-3	17-33	Autostellplatzes	_	_
			_	
#Text=Wenn man mit dem Rad aus Richtung Margaretastr. fährt ist am Ende des Weges ein Autostellplatz eingerichtet der den Fuß- und Radweg sehr einengt (man muß den Autostellplatz bzw. das Auto umkurven) und es dadurch zu gefährlichen Situationen kommt.				
2-1	36-40	Wenn	_	_
2-2	41-44	man	_	_
2-3	45-48	mit	_	_
2-4	49-52	dem	_	_
2-5	53-56	Rad	_	_
2-6	57-60	aus	_	*[3]
2-7	61-69	Richtung	_	*[3]
2-8	70-82	Margaretastr	_	*[3]
2-9	82-83	.	_	_
2-10	84-89	fährt	_	_
2-11	90-93	ist	_	_
2-12	94-96	am	_	_
2-13	97-101	Ende	_	_
2-14	102-105	des	_	_
2-15	106-111	Weges	_	_
2-16	112-115	ein	_	_
2-17	116-130	Autostellplatz	_	_
2-18	131-143	eingerichtet	_	_
2-19	144-147	der	_	_
2-20	148-151	den	_	_
2-21	152-155	Fuß	_	_
2-22	155-156	-	_	_
2-23	157-160	und	_	_
2-24	161-167	Radweg	_	_
2-25	168-172	sehr	_	_
2-26	173-180	einengt	_	_
2-27	181-182	(	_	_
2-28	182-185	man	_	_
2-29	186-189	muß	_	_
2-30	190-193	den	_	_
2-31	194-208	Autostellplatz	_	_
2-32	209-212	bzw	_	_
2-33	212-213	.	_	_
2-34	214-217	das	_	_
2-35	218-222	Auto	_	_
2-36	223-231	umkurven	_	_
2-37	231-232	)	_	_
2-38	233-236	und	_	_
2-39	237-239	es	_	_
2-40	240-247	dadurch	_	_
2-41	248-250	zu	_	_
2-42	251-263	gefährlichen	_	_
2-43	264-275	Situationen	_	_
2-44	276-281	kommt	_	_
2-45	281-282	.	_	_
