#FORMAT=WebAnno TSV 3.2
#T_SP=webanno.custom.Location|


#FORMAT=WebAnno TSV 3.2			_	
#T_SP=webanno.custom.Typ|Name			_	
#T_SP=webanno.custom.Verortung|			_	
			_	
			_	
#Text=Generelles Fahrradkonzept fehlt				
1-1	0-10	Generelles	_	_
1-2	11-25	Fahrradkonzept	_	_
1-3	26-31	fehlt	_	_
			_	
#Text=Ich habe hier sehr viele gute Vorschläge gesehen, die sehr klar und deutlich zeigen, dass es ein fehlendes Gesamtkonzept der Stadt gibt.				
2-1	34-37	Ich	_	_
2-2	38-42	habe	_	_
2-3	43-47	hier	_	_
2-4	48-52	sehr	_	_
2-5	53-58	viele	_	_
2-6	59-63	gute	_	_
2-7	64-74	Vorschläge	_	_
2-8	75-82	gesehen	_	_
2-9	82-83	,	_	_
2-10	84-87	die	_	_
2-11	88-92	sehr	_	_
2-12	93-97	klar	_	_
2-13	98-101	und	_	_
2-14	102-110	deutlich	_	_
2-15	111-117	zeigen	_	_
2-16	117-118	,	_	_
2-17	119-123	dass	_	_
2-18	124-126	es	_	_
2-19	127-130	ein	_	_
2-20	131-140	fehlendes	_	_
2-21	141-154	Gesamtkonzept	_	_
2-22	155-158	der	_	_
2-23	159-164	Stadt	_	_
2-24	165-169	gibt	_	_
2-25	169-170	.	_	_
			_	
#Text=Anlehnend an das Kopenhagener Fahrradkonzept zeigt sich, dass es sich lohnt, Fahrradfahrern mehr Raum zu geben, da sich dadurch die Anzahl der Radfahrer deutlich erhöht und die Nutzung des Autos reduziert.				
3-1	171-180	Anlehnend	_	_
3-2	181-183	an	_	_
3-3	184-187	das	_	_
3-4	188-200	Kopenhagener	_	_
3-5	201-215	Fahrradkonzept	_	_
3-6	216-221	zeigt	_	_
3-7	222-226	sich	_	_
3-8	226-227	,	_	_
3-9	228-232	dass	_	_
3-10	233-235	es	_	_
3-11	236-240	sich	_	_
3-12	241-246	lohnt	_	_
3-13	246-247	,	_	_
3-14	248-262	Fahrradfahrern	_	_
3-15	263-267	mehr	_	_
3-16	268-272	Raum	_	_
3-17	273-275	zu	_	_
3-18	276-281	geben	_	_
3-19	281-282	,	_	_
3-20	283-285	da	_	_
3-21	286-290	sich	_	_
3-22	291-298	dadurch	_	_
3-23	299-302	die	_	_
3-24	303-309	Anzahl	_	_
3-25	310-313	der	_	_
3-26	314-323	Radfahrer	_	_
3-27	324-332	deutlich	_	_
3-28	333-339	erhöht	_	_
3-29	340-343	und	_	_
3-30	344-347	die	_	_
3-31	348-355	Nutzung	_	_
3-32	356-359	des	_	_
3-33	360-365	Autos	_	_
3-34	366-375	reduziert	_	_
3-35	375-376	.	_	_
			_	
#Text=Es braucht durchgängige gut befahrbare (viele Radwege sind Buckelpisten) Fahrradspuren sowohl stadteinwärts als auch zwischen den Stadtteilen zum Beispiel parallel zu Gürtel, Innere, Äußere und Militärring.				
4-1	377-379	Es	_	_
4-2	380-387	braucht	_	_
4-3	388-400	durchgängige	_	_
4-4	401-404	gut	_	_
4-5	405-415	befahrbare	_	_
4-6	416-417	(	_	_
4-7	417-422	viele	_	_
4-8	423-430	Radwege	_	_
4-9	431-435	sind	_	_
