#FORMAT=WebAnno TSV 3.2
#T_SP=webanno.custom.Location|


#FORMAT=WebAnno TSV 3.2			_	
#T_SP=webanno.custom.Typ|Name			_	
#T_SP=webanno.custom.Verortung|			_	
			_	
			_	
#Text=Venloer Str. Einbahnstr.				
1-1	0-7	Venloer	_	*[3]
1-2	8-11	Str	_	*[3]
1-3	11-12	.	_	*[3]
1-4	13-23	Einbahnstr	_	_
1-5	23-24	.	_	_
			_	
#Text=Die Venloer Str. sollte wenigstens zwischen Innenstadt und Gürtel zur Einbahnstr. für den MIV werden damit den Radfahrern und Fußgängern mehr Platz gegeben werden kann.				
2-1	27-30	Die	_	*[4]
2-2	31-38	Venloer	_	*[4]
2-3	39-42	Str	_	*[4]
2-4	42-43	.	_	*[4]
2-5	44-50	sollte	_	_
2-6	51-61	wenigstens	_	_
2-7	62-70	zwischen	_	*[5]
2-8	71-81	Innenstadt	_	*[5]
2-9	82-85	und	_	*[5]
2-10	86-92	Gürtel	_	*[5]
2-11	93-96	zur	_	_
2-12	97-107	Einbahnstr	_	_
2-13	107-108	.	_	_
2-14	109-112	für	_	_
2-15	113-116	den	_	_
2-16	117-120	MIV	_	_
2-17	121-127	werden	_	_
2-18	128-133	damit	_	_
2-19	134-137	den	_	_
2-20	138-148	Radfahrern	_	_
2-21	149-152	und	_	_
2-22	153-163	Fußgängern	_	_
2-23	164-168	mehr	_	_
2-24	169-174	Platz	_	_
2-25	175-182	gegeben	_	_
2-26	183-189	werden	_	_
2-27	190-194	kann	_	_
2-28	194-195	.	_	_
