document_id;title;text;url;lat;lon
B1592;Fahrradstraßen in der Innenstadt;Von der markierten Ecke der Innenstadt kommt man grundsätzlich nicht gut in Richtung Osten (Adenauerallee/Belderberg). Über Regina-Pacis-Weg und Fußgängerampel ist sehr unpraktisch, aber Franziskanerstraße und Rathausgasse funktionieren auch nicht. Könnte man aus mehreren Straßen der Innenstadt (Am Hof, Rathausgasse, Wesselstraße, Am Neutor) nicht beidseitig geöffnete Fahrradstraßen machen?;https://www.raddialog.bonn.de/dialoge/bonner-rad-dialog/fahrradstrassen-der-innenstadt;50,734382;7,10385
B1593;Radweg trifft auf Straße;Hier wäre eine breite Einmündung ohne Bordsteinkante und Poller von Vorteil, eine Vorfahrt für Radfahrer*innen sinvoll, da dies eine stark befahrene Pendlerstrecke ist.;https://www.raddialog.bonn.de/dialoge/bonner-rad-dialog/radweg-trifft-auf-strasse;50,753604;7,142776
B1594;Engstelle führt direkt auf Gleise;Diese Stelle ist auch wenig optimal, wenn man aus der Unterführung kommt. Es ist eng, unklar ob Fuß- oder Radweg, danach sofort Straßenbahnschienen. Die Anbindung an das Beueler Zentrum auch wenig angenehm zu fahren durch die Obere Wilhelmsstraße.;https://www.raddialog.bonn.de/dialoge/bonner-rad-dialog/engstelle-fuehrt-direkt-auf-gleise;50,73987;7,126624
B1595;Gefährliche Einmündung;Eventuell würden Spiegel oder eine bessere Sicht die Situation entschärfen.;https://www.raddialog.bonn.de/dialoge/bonner-rad-dialog/gefaehrliche-einmuendung;50,755165;7,097983
B1596;Radwege neben den Gleisen;Wegen der Straßenbahnschienen ist das Radfahren auf der Friedrich-Breuer-Straße sehr gefahrenträchtig. Wenn man die Geschäfte erreichen will, ist es leider nicht möglich auf die Nebenstraßen auszuweichen. Würden die Parkplätze entlang der Friedrich-Breuer-Straße entfernt, würde genug Platz für Radschutzstreifen neben den Gleisen entstehen.;https://www.raddialog.bonn.de/dialoge/bonner-rad-dialog/radwege-neben-den-gleisen;50,739528;7,121061
B1597;Radverbindung in der Innenstadt;Von ca. Mitte November bis zum 24.12. jeden Jahres ist die zentrale Fahrradroute durch die Stadt relativ ersatzlos gesperrt. Alternativen bzw. Umleitung sind nur bedingt bis gar nicht ausgewiesen. Es gab vor Jahr und Tag einen Vorschlag der Grünen, einen Radweg freizuhalten. Warum nicht vom Friedensplatz über den Bottlerplatz zur Münsterstraße und dann durch die Sürst über den Markt einen Weg freihalten?;https://www.raddialog.bonn.de/dialoge/bonner-rad-dialog/radverbindung-der-innenstadt;50,698374;7,075801
B1598;Ampel auf Radweg;Schwierige Situation. Sollen Radler*innen hier wirklich warten müssen? Der Fußgänger*innenverkehr hält sich in Grenzen.;https://www.raddialog.bonn.de/dialoge/bonner-rad-dialog/ampel-auf-radweg;50,737399;7,10721
B1599;Parken in zweiter Reihe;Auf der Prinz-Albert-Straße parken regelmäßig Autos in zweiter Reihe. Als Fahrradfahrer muss man in diesem Fall in den Gleisbereich der Straßenbahn ausweichen, was nicht ungefährlich ist.;https://www.raddialog.bonn.de/dialoge/bonner-rad-dialog/parken-zweiter-reihe;50,730107;7,100701
B1601;Auffahrt auf den Südbrücke vom Rhein;Genauso wie an der Nordbrücke kann direkt vom Rheinuferweg ein Weg bzw. eine Auffahrt für den Radverkehr geschaffen werden. Das würde den unschönen und lauten Umweg entlang der sehr langen Vorlandbrücke abkürzen und den Zugang zum Rheinufer erleichtern. Bei ca. 8 % Steigung wäre es auch ähnlich wie an der Nordbrücke.;https://www.raddialog.bonn.de/dialoge/bonner-rad-dialog/auffahrt-auf-den-suedbruecke-vom-rhein-0;50,715374;7,14386
B1602;Fahrradweg fast immer zugeparkt;An dieser Stelle wird der Fahrradweg von der Straße auf den Gehweg geführt (in beide Richtungen). In beide Richtungen ist hier der Radweg fast jeden Tag durch PKW zugeparkt. Es müsste hier regelmäßige Kontrollen oder in letzter Instanz Poller oder sonstige Hindernisse geben, die Autofahrer vom Zuparken des Radweges abhalten.;https://www.raddialog.bonn.de/dialoge/bonner-rad-dialog/fahrradweg-fast-immer-zugeparkt;50,741262;7,079895
B1603;Wichtige Stellplätze - leider häufig überfüllt;Die Fahrradparkmöglichkeiten erweitern.;https://www.raddialog.bonn.de/dialoge/bonner-rad-dialog/wichtige-stellplaetze-leider-haeufig-ueberfuellt;50,734822;7,102709
B1604;Überfüllte Fahrradständer;Mehr Stellplätze.;https://www.raddialog.bonn.de/dialoge/bonner-rad-dialog/ueberfuellte-fahrradstaender;50,731444;7,096632
B1605;Gemeinsamer Fuß/Radweg;Die Aufteilung der beiden Wege an der Rheinlust von der Rheinaustraße zum Rhein in einen Fußweg (nördlich) und einen Radweg (südlich) wird von den Nutzern praktisch nicht beachtet. Fußgänger, die über den Zebrastreifen in der Rheinaustraße kommen, nutzen meist den Radweg, während Radfahrer den Fußweg nutzen, da er in gerader Linie von der Friedrich-Breuer-Straße zu erreichen ist. Da beide Wege ziemlich breit sind, sollten sie einfach beide als gemeinsame Fuß- und Radwege ausgezeichnet werden.;https://www.raddialog.bonn.de/dialoge/bonner-rad-dialog/gemeinsamer-fussradweg;50,737898;7,113782
B1606;Markierung für Radwegabzweig;An dieser Stelle beginnt der Radweg am Rheindorfer Bach entlang. Kommt man aus der Straße Am Probsthof, biegt man links ab und dann direkt an der Fußgängerampel rechts in den Radweg am Bach entlang. Dies irritiert öfters nachfolgende Autofahrer. Ich würde mir eine Markierung auf der Straße wünschen, die deutlich macht, dass hier ein Radweg abzweigt.;https://www.raddialog.bonn.de/dialoge/bonner-rad-dialog/markierung-fuer-radwegabzweig;50,740431;7,075887
