#FORMAT=WebAnno TSV 3.2
#T_SP=webanno.custom.Location|




#Text=Vorrang für den Maarweg (Fahrradstraße) statt rechts vor links
1-1	0-7	Vorrang	_	
1-2	8-11	für	_	
1-3	12-15	den	_	
1-4	16-23	Maarweg	*[3]	
1-5	24-25	(	*[3]	
1-6	25-38	Fahrradstraße	*[3]	
1-7	38-39	)	*[3]	
1-8	40-45	statt	_	
1-9	46-52	rechts	_	
1-10	53-56	vor	_	
1-11	57-62	links	_	

#Text=Der Maarweg ist lie längere Fahrradstraße und wichtige Verbindung von Duisdorf in die City
2-1	65-68	Der	*[4]	
2-2	69-76	Maarweg	*[4]	
2-3	77-80	ist	_	
2-4	81-84	lie	_	
2-5	85-92	längere	_	
2-6	93-106	Fahrradstraße	_	
2-7	107-110	und	_	
2-8	111-119	wichtige	_	
2-9	120-130	Verbindung	_	
2-10	131-134	von	*[5]	
2-11	135-143	Duisdorf	*[5]	
2-12	144-146	in	*[5]	
2-13	147-150	die	*[5]	
2-14	151-155	City	*[5]	
