#FORMAT=WebAnno TSV 3.2
#T_SP=webanno.custom.Location|


#FORMAT=WebAnno TSV 3.2			_	
#T_SP=webanno.custom.Typ|Name			_	
#T_SP=webanno.custom.Verortung|			_	
			_	
			_	
#Text=Fahrradabstellanlage am Hauptbahnhof (Ost/Cityseite)				
1-1	0-20	Fahrradabstellanlage	_	_
1-2	21-23	am	_	*[13]
1-3	24-36	Hauptbahnhof	_	*[13]
1-4	37-38	(	_	*[13]
1-5	38-41	Ost	_	*[13]
1-6	41-42	/	_	*[13]
1-7	42-51	Cityseite	_	*[13]
1-8	51-52	)	_	*[13]
			_	
#Text=Nach der jüngsten Einrichtung der Baustelle parken jetzt die Autos der Bauarbeiter (wenn mal welche da sind) hinter dem Bauzaun vor Gleis 1, die (zu) wenigen Radabstellständer sind hinter die Hecke gezogen worden.				
2-1	55-59	Nach	_	_
2-2	60-63	der	_	_
2-3	64-72	jüngsten	_	_
2-4	73-84	Einrichtung	_	_
2-5	85-88	der	_	_
2-6	89-98	Baustelle	_	_
2-7	99-105	parken	_	_
2-8	106-111	jetzt	_	_
2-9	112-115	die	_	_
2-10	116-121	Autos	_	_
2-11	122-125	der	_	_
2-12	126-137	Bauarbeiter	_	_
2-13	138-139	(	_	_
2-14	139-143	wenn	_	_
2-15	144-147	mal	_	_
2-16	148-154	welche	_	_
2-17	155-157	da	_	_
2-18	158-162	sind	_	_
2-19	162-163	)	_	_
2-20	164-170	hinter	_	_
2-21	171-174	dem	_	_
2-22	175-182	Bauzaun	_	_
2-23	183-186	vor	_	_
2-24	187-192	Gleis	_	_
2-25	193-194	1	_	_
2-26	194-195	,	_	_
2-27	196-199	die	_	_
2-28	200-201	(	_	_
2-29	201-203	zu	_	_
2-30	203-204	)	_	_
2-31	205-212	wenigen	_	_
2-32	213-230	Radabstellständer	_	_
2-33	231-235	sind	_	_
2-34	236-242	hinter	_	_
2-35	243-246	die	_	_
2-36	247-252	Hecke	_	_
2-37	253-260	gezogen	_	_
2-38	261-267	worden	_	_
2-39	267-268	.	_	_
			_	
#Text=Es gibt für Bike & Ride-Pendler praktisch keine freien Abstellplätz mehr, man muss sich irgendwie dazwischen quetschen.				
3-1	269-271	Es	_	_
3-2	272-276	gibt	_	_
3-3	277-280	für	_	_
3-4	281-285	Bike	_	_
3-5	286-287	&	_	_
3-6	288-300	Ride-Pendler	_	_
3-7	301-310	praktisch	_	_
3-8	311-316	keine	_	_
3-9	317-323	freien	_	_
3-10	324-336	Abstellplätz	_	_
3-11	337-341	mehr	_	_
3-12	341-342	,	_	_
3-13	343-346	man	_	_
3-14	347-351	muss	_	_
3-15	352-356	sich	_	_
3-16	357-366	irgendwie	_	_
3-17	367-377	dazwischen	_	_
3-18	378-387	quetschen	_	_
3-19	387-388	.	_	_
			_	
#Text=Wenn man aus der Kaiserstraße kommt, hinter dem Residence-Hotel abbiegt, die Poppelsdorfer Allee überquert sind die ersten Räder bereits am Geländer (nicht anfassen! letzte Reinigung ca. vor 20 Jahren) der Südunterführung befestigt, so dass Begegnungsverkehr zwischen Radfahrern und Fußgängern kaum noch möglich ist.				
4-1	389-393	Wenn	_	_
4-2	394-397	man	_	_
